Occupation,Suboccupation,Value
"Management, business, science, and arts occupations",Management occupations,15961
"Management, business, science, and arts occupations",Business and financial operations occupations,9053
"Management, business, science, and arts occupations",Computer and mathematical occupations,3873
"Management, business, science, and arts occupations",Architecture and engineering occupations,2518
"Management, business, science, and arts occupations","Life, physical, and social science occupations",1810
"Management, business, science, and arts occupations",Community and social service occupations,5632
"Management, business, science, and arts occupations",Legal occupations,1516
"Management, business, science, and arts occupations","Educational instruction, and library occupations",10381
"Management, business, science, and arts occupations","Arts, design, entertainment, sports, and media occupations",2566
"Management, business, science, and arts occupations",Health diagnosing and treating practitioners and other technical occupations,6621
"Management, business, science, and arts occupations",Health technologists and technicians,5255
Service occupations,Healthcare support occupations,14823
Service occupations,"Protective Firefighting and prevention, and other protective service workers including supervisors",4618
Service occupations,Protective Law enforcement workers including supervisors,1378
Service occupations,Food preparation and serving related occupations,17625
Service occupations,Building and grounds cleaning and maintenance occupations,15758
Service occupations,Personal care and service occupations,7672
Sales and office occupations,Sales and related occupations,23730
Sales and office occupations,Office and administrative support occupations,27862
"Natural resources, construction, and maintenance occupations","Natural resources, construction, and maintenance occupations:!!Farming, fishing, and forestry occupations",243
"Natural resources, construction, and maintenance occupations","Natural resources, construction, and maintenance occupations:!!Construction and extraction occupations",9736
"Natural resources, construction, and maintenance occupations","Natural resources, construction, and maintenance occupations:!!Installation, maintenance, and repair occupations",5149
"Production, transportation, and material moving occupations",Production occupations,34712
"Production, transportation, and material moving occupations",Transportation occupations,12399
"Production, transportation, and material moving occupations",Material moving occupations,20301
