GEOID,TotalCivilianEmployedPopulation,ManagementBusinessScienceAndArts ,Service,SalesAndOffice,Natural resourcesConstructionAndMaintenance,ProductionTransportationAndMaterialMoving
0500000US01003,90197,36142,13175,22342,8942,9596
0500000US01015,46812,13550,7647,10594,5009,10012
0500000US01043,32765,9930,4674,7299,4650,6212
0500000US01049,29693,5380,5831,7262,2796,8424
0500000US01051,34059,13358,3748,8809,3532,4612
0500000US01055,40918,10176,9203,8817,4356,8366
0500000US01069,43418,13949,7947,11501,4217,5804
0500000US01073,305986,119158,53184,79095,20760,33789
0500000US01077,38940,11020,8030,10391,3683,5816
0500000US01081,75028,32023,13764,17029,4413,7799
0500000US01083,38509,11922,8007,9092,4464,5024
0500000US01089,177996,83714,25860,37915,9455,21052
0500000US01095,37891,10189,6901,8906,4178,7717
0500000US01097,175077,55051,31135,47797,18361,22733
0500000US01101,102601,38478,17015,24976,5341,16791
0500000US01103,49211,15445,8384,10278,6339,8765
0500000US01115,39603,12055,6317,9460,4832,6939
0500000US01117,104293,45911,13785,27469,8918,8210
0500000US01121,30554,9185,5899,6739,2363,6368
0500000US01125,96195,32799,18853,19927,8024,16592
0500000US01127,22007,6857,3131,4836,3203,3980
0500000US02020,153817,62901,24825,38124,12716,15251
0500000US02090,48041,16335,8505,10222,7339,5640
0500000US02170,44111,14575,8662,9255,6813,4806
0500000US04001,19390,6189,3813,4291,2575,2522
0500000US04003,42915,14668,11764,9463,3699,3321
0500000US04005,65466,24186,15496,14641,5598,5545
0500000US04013,1995962,755825,363403,514189,165734,196811
0500000US04015,69900,17153,19056,17788,7021,8882
0500000US06099,225288,62633,39690,52592,33632,36741
0500000US06101,39475,9241,7073,9511,7442,6208
0500000US06107,173417,45860,31103,33423,37038,25993
0500000US06111,417865,156983,72424,92778,52227,43453
0500000US06113,95244,43061,16097,19034,9141,7911
0500000US06115,28688,6123,6811,8528,4035,3191
0500000US08001,256129,73211,46119,64770,38307,33722
0500000US08005,340940,139818,56088,84221,28210,32603
0500000US08013,171122,94646,25474,30128,9450,11424
0500000US08014,35693,19028,5423,7364,1756,2122
0500000US08031,384689,183687,62215,80054,29639,29094
0500000US08035,177858,98793,18667,42989,8483,8926
0500000US08041,314750,132094,57939,76069,23747,24901
0500000US08059,309979,144814,47186,71342,21893,24744
0500000US08069,178017,78173,32092,38940,13883,14929
0500000US08077,68761,21975,14433,17197,6721,8435
0500000US08101,68153,21749,14711,17144,6359,8190
0500000US08123,140473,46281,22424,31931,18524,21313
0500000US09001,476587,211342,90263,104839,31318,38825
0500000US09003,445103,193282,75973,105069,26545,44234
0500000US09005,98700,41815,15269,21942,10401,9273
0500000US09007,90532,40505,13940,23292,6654,6141
0500000US09009,427830,180260,77930,95989,30795,42856
0500000US09011,136922,54971,28363,30201,10402,12985
0500000US09013,77785,33989,15848,15903,6557,5488
0500000US09015,58310,19735,11949,13648,5962,7016
0500000US10001,77379,25278,17227,15124,9642,10108
0500000US10003,270496,117392,45514,61647,21926,24017
0500000US10005,96446,34543,14933,23057,10478,13435
0500000US11001,364797,223826,57472,57309,11072,15118
0500000US12001,119879,54208,25937,26315,6874,6545
0500000US12005,82277,26204,16712,21092,9372,8897
0500000US12009,241915,92076,49049,56097,21488,23205
0500000US12011,955664,340994,190953,257657,79134,86926
0500000US12015,58844,17136,12888,16355,7505,4960
0500000US12017,44862,13919,10659,11578,5048,3658
0500000US12019,96433,32751,16868,26897,10303,9614
0500000US12021,155130,45081,42357,33630,23300,10762
0500000US12023,25066,6478,3935,6844,4207,3602
0500000US12031,439862,162186,78817,116452,36976,45431
0500000US12033,133788,43912,28204,38296,10685,12691
0500000US12035,38853,11525,8140,12423,3301,3464
0500000US12053,66429,21886,13008,16579,6804,8152
0500000US12055,30349,7041,6260,9206,3829,4013
0500000US12057,670684,254678,124700,174586,54900,61820
0500000US12061,54094,18669,12431,13400,5491,4103
0500000US12069,136073,42596,30200,37601,14351,11325
0500000US12071,301862,90292,62597,85610,38755,24608
0500000US12073,143544,69725,22611,36348,7480,7380
0500000US12081,156980,50139,29642,45201,15536,16462
0500000US04017,33372,10358,9478,6463,3197,3876
0500000US04019,436074,159534,96237,106740,37645,35918
0500000US04021,147996,45103,35301,35804,15286,16502
