GEO_ID,Total Civilian employed population ,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations"
0500000US26005,56551,16748,8979,11249,6873,12702
0500000US26017,48131,14925,8147,11386,5248,8425
0500000US26021,69777,23954,12794,13537,7420,12072
0500000US26025,62429,18652,12862,11290,5424,14201
0500000US26037,39975,16473,5631,8278,3216,6377
0500000US26045,54930,21066,8950,11544,3686,9684
0500000US26049,173534,56701,32967,35030,15032,33804
0500000US26055,48556,18585,8447,11442,3902,6180
0500000US26065,151966,63478,28314,32682,8403,19089
0500000US26073,34069,10435,8420,7294,2770,5150
0500000US26075,68972,23011,12360,13272,7060,13269
0500000US26077,135583,54051,26300,28018,9879,17335
0500000US26081,345415,127357,57161,70023,26662,64212
0500000US26087,41069,15243,6609,6463,5405,7349
0500000US26091,43989,13390,9319,7194,4671,9415
0500000US26093,97776,43204,14422,20423,9936,9791
0500000US26099,437770,157149,73940,93384,35484,77813
0500000US26103,31453,10883,5876,7749,2677,4268
0500000US26111,38153,17548,5137,7588,3652,4228
0500000US26115,70166,23148,10885,12327,8206,15600
0500000US26121,76075,22266,15013,13578,5515,19703
0500000US26125,656765,337785,93684,130744,33189,61363
0500000US26139,154414,57112,23334,30969,13217,29782
0500000US26145,84299,28365,19453,16728,5388,14365
0500000US26147,72830,24267,12664,13422,7606,14871
0500000US26155,30871,8677,6997,6541,3213,5443
0500000US26159,35292,10508,7013,6776,5029,5966
0500000US26161,193750,109950,27511,30139,7840,18310
0500000US26163,777705,265705,151527,151868,49647,158958
0500000US55009,141072,48328,24286,30434,11173,26851
0500000US55025,314495,172436,47750,51899,13802,28608
0500000US55027,46413,13416,6838,8446,5234,12479
0500000US55035,56214,21315,10628,10811,3782,9678
0500000US55039,56314,16216,8013,11568,7200,13317
0500000US55055,44973,13565,7758,7901,5391,10358
0500000US55059,84978,29856,13219,19741,6889,15273
0500000US55063,62048,22557,11664,13369,4092,10366
0500000US55071,40748,11795,6835,7928,4730,9460
0500000US55073,72196,24614,10602,13484,7204,16292
0500000US55079,456646,174300,85311,90566,27199,79270
0500000US55087,100130,36376,14543,21806,9563,17842
0500000US55089,48228,22720,7016,9983,2896,5613
0500000US55097,37304,14831,5939,6374,3292,6868
0500000US55101,93186,30931,16461,18164,9323,18307
0500000US55105,81370,26776,12621,15613,8171,18189
0500000US55109,50610,20873,7089,9930,4555,8163
0500000US55117,60390,20071,8932,11334,6087,13966
0500000US55127,54660,18570,9183,11991,4653,10263
0500000US55131,74750,30703,10239,16171,4955,12682
0500000US55133,218537,108450,26058,44008,13288,26733
0500000US55139,89405,29428,15873,20979,7530,15595
0500000US55141,34608,11227,6211,6043,3373,7754
0500000US39003,47165,12590,10093,9313,4286,10883
0500000US39007,43253,11609,10447,7327,4531,9339
0500000US39009,28943,11868,6721,5184,2259,2911
0500000US39013,29703,9182,5908,6375,3480,4758
0500000US39017,184893,69375,33882,37056,12659,31921
0500000US39023,60900,17078,12775,12244,5247,13556
0500000US39025,105011,41181,17402,23894,8093,14441
0500000US39029,45657,14296,8852,7959,5143,9407
0500000US39035,599438,243124,107112,137394,32216,79592
0500000US39041,107971,59054,12109,23643,4527,8638
0500000US39043,36433,10602,8194,7893,2582,7162
0500000US39045,81377,33355,14160,16950,5913,10999
0500000US39049,710813,322285,110896,148494,37831,91307
0500000US39055,47058,19172,6045,9792,6945,5104
0500000US39057,80903,38378,14913,14934,3574,9104
0500000US39061,416586,189983,69699,84819,21131,50954
0500000US39063,38579,13822,6414,6386,3350,8607
0500000US39081,27383,8328,5098,5750,3599,4608
0500000US39085,117813,43680,18329,27893,7903,20008
0500000US39089,88848,32699,16763,16514,9297,13575
0500000US39093,144045,53299,27104,28579,12536,22527
0500000US39095,197998,67774,35600,41838,14583,38203
0500000US39099,105990,36451,20835,23035,7749,17920
0500000US39101,28281,7429,6265,5040,2278,7269
0500000US39103,92579,42031,12820,18919,6818,11991
0500000US39109,50272,15237,8136,10536,4284,12079
0500000US39113,250384,94642,45584,52781,16718,40659
0500000US39119,37643,12671,7339,6836,3805,6992
0500000US39133,83619,26437,17154,17353,8045,14630
0500000US39139,54751,17193,10952,10391,4496,11719
0500000US39141,32005,10243,6139,4992,2122,8509
0500000US39145,27759,9790,4919,4774,2849,5427
0500000US39151,176840,60557,31577,37689,13291,33726
0500000US39153,270057,103882,45466,61351,18107,41251
0500000US39155,84658,25018,15981,16323,8190,19146
0500000US39157,42651,11823,6940,8642,4581,10665
0500000US39165,120711,62132,14216,22370,8474,13519
0500000US39169,56554,18066,7467,10308,6060,14653
0500000US39173,71571,26251,14016,13668,5052,12584
0500000US18003,190492,69076,28597,40418,13928,38473
0500000US18005,41882,18119,5336,7052,2012,9363
0500000US18011,34597,17588,3523,6092,2011,5383
0500000US18019,59052,19232,10618,13058,5870,10274
0500000US18035,51668,18361,8699,11926,4780,7902
0500000US18039,99878,26351,14749,22993,8753,27032
0500000US18043,39279,14872,5349,10140,3284,5634
0500000US18053,29992,10202,4645,5945,1957,7243
0500000US18057,180528,104375,21044,36581,6268,12260
0500000US18059,39021,17899,5935,7002,3733,4452
0500000US18063,91090,35311,14096,21560,7083,13040
0500000US18067,37008,9413,6269,5685,3120,12521
0500000US18081,83474,33363,13415,19991,5673,11032
0500000US18085,39417,14060,4411,6575,3038,11333
0500000US18089,225008,71635,42414,48260,22042,40657
0500000US18091,50522,14002,10107,12232,5531,8650
0500000US18095,58522,17671,11958,12055,5143,11695
